file_key,评论数,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,valid,Novelty,log_comment_count,Usefulness,nov_zscore,ai_permeability
shushushu - 月下煮茶（普通话ver.）,23,-272.7987060546875,118.12448120117188,37.19215393066406,35.10468292236328,29.65680694580078,-9.769939422607422,15.138910293579102,-5.225805282592773,-2.1853606700897217,-2.8000118732452393,-5.614041805267334,-1.9058080911636353,-7.870489597320557,True,0.0180076520469082,3.1780538303479458,-0.7206123162824478,-0.4045321739321834,1.0
余翊 - 偏爱,22,-146.8357391357422,67.5384292602539,21.313251495361328,37.52979278564453,18.11194610595703,-1.1804901361465454,5.315959930419922,-3.116877794265747,-3.761165618896485,7.228010654449463,-9.229785919189451,-1.6709961891174316,-11.036274909973145,True,0.0174091016415771,3.1354942159291497,-0.7406554364724046,-0.4719008364224087,1.0
基米诺苏 - 跳楼机,18,-113.24061584472656,78.19026184082031,4.095080375671387,13.825916290283203,-6.770954132080078,3.3836944103240967,-5.058677673339844,-1.2566297054290771,-9.013060569763184,1.113176703453064,-3.907203197479248,-2.323040008544922,-9.649267196655272,True,0.0329008563174031,2.9444389791664403,-0.8306314178258547,1.2717431120931857,1.0
备忘录 - 烟花易冷,8714,-130.9129180908203,67.92937469482422,18.275691986083984,27.788171768188477,10.131996154785156,9.422975540161133,5.801488876342773,-1.1425485610961914,3.2522380352020264,3.486067295074463,4.482423782348633,-4.29420280456543,-10.707626342773438,True,0.0153910021294645,9.07280095795412,2.0554731060477227,-0.6990440539230329,1.0
大眼仔 - 弱水三千（爱的桥段叫我怎么写）,278,-175.5152130126953,78.100830078125,31.510765075683594,19.59181022644043,20.54130744934082,-0.9093043208122252,5.539547443389893,-2.282233953475952,-2.2204811573028564,9.231192588806152,-6.761110782623291,0.6895422339439392,-4.474758625030518,True,0.0180127580334819,5.631211781821365,0.4346833868810363,-0.4039574796656741,1.0
微醺Susie - 雨蝶,2141,-120.73758697509766,88.13150787353516,24.452590942382812,24.903583526611328,12.88121223449707,-0.8275411128997803,10.71723461151123,-4.435751438140869,8.710021018981934,4.882540702819824,-9.447751998901367,2.694152355194092,-5.499303340911865,True,0.0272783103673193,7.669495251007694,1.3945971716276606,0.6389085219345458,1.0
抽乐个大象 - 再回首 (赛博科比),15,-114.0915756225586,89.33637237548828,32.55667495727539,35.056365966796875,14.286819458007812,8.444656372070312,6.341720104217529,2.092032670974731,-7.069283485412598,6.122035026550293,-4.1496710777282715,1.6136536598205566,-5.300111293792725,True,0.036959398578893,2.772588722239781,-0.9115629629371932,1.7285443461770464,1.0
抽乐个大象 - 爱我别走 (AI詹姆斯),188,-116.6909408569336,99.8690414428711,-0.8266130685806274,27.68358039855957,4.322658538818359,11.963561058044434,6.017100811004639,-1.9592822790145872,2.770587921142578,-0.6973525881767273,-2.064568519592285,1.521243929862976,-11.144079208374023,True,0.046552178288865,5.241747015059643,0.251267976836551,2.80824078087701,1.0
梦境里的算法 - 我是真的爱上你,19,-159.20945739746094,83.97039031982422,19.29692649841309,25.358739852905273,10.444130897521973,3.042330265045166,-0.5074483752250671,4.396210193634033,-7.788932323455811,3.1231849193573,-3.270742654800415,-2.514615058898926,-5.458604335784912,True,0.012823127392038,2.995732273553991,-0.8064752388193441,-0.9880661395520144,1.0
梦境里的算法 - 我的心太乱,87,-142.1992645263672,86.10649108886719,32.996299743652344,18.107885360717773,8.073759078979492,1.501106023788452,-1.6055190563201904,-3.6453118324279785,-2.878960132598877,6.975356101989746,-5.290552139282227,-2.5269508361816406,-5.532924652099609,True,0.017803798259505,4.477336814478207,-0.1087250760590641,-0.4274765356410728,1.0
江越 - 偏爱 (R&B),42,-145.3097686767578,76.97368621826172,13.59250545501709,29.041399002075195,14.414825439453123,-5.533192157745361,0.6182138323783875,-2.3295164108276367,-1.4651978015899658,2.923840284347534,-4.3840250968933105,-2.8266372680664062,-8.181986808776855,True,0.0132768146041392,3.7612001156935624,-0.4459840978381788,-0.937002268579832,1.0
江越 - 李白,20,-213.4376220703125,98.65559387207033,26.379106521606445,29.81229782104492,6.576677322387695,15.850340843200684,-1.492031812667847,-0.018766501918435,-2.19012451171875,0.8744720220565796,-0.7406585216522217,-2.325608253479004,-10.172264099121094,True,0.0156706907822324,3.044522437723423,-0.783497889567238,-0.6675642482410911,1.0
江越 - 李白（R&B）,51,-172.111572265625,96.2662582397461,26.912944793701172,22.770437240600582,5.3592000007629395,1.2147746086120603,3.862626075744629,-3.542057752609253,-5.029536247253418,4.326606750488281,-4.621845245361328,-0.8676396012306213,-7.894063472747803,True,0.0131016066173067,3.951243718581427,-0.3564845376088068,-0.9567224586012204,1.0
江越 - 爱错 (R&B),18,-121.85906982421876,65.28211212158203,16.13697624206543,22.608482360839844,5.929028511047363,2.045815706253052,3.128922700881958,1.3278604745864868,-7.617737770080566,4.1991987228393555,-6.946399688720703,5.717166900634766,-14.07376766204834,True,0.0151453017080196,2.9444389791664403,-0.8306314178258547,-0.7266983811419269,1.0
淘子宿舍 - 春风吹,1470,-127.98846435546876,54.26176834106445,-2.926295757293701,23.408218383789062,2.2016420364379883,3.893975734710694,6.040760517120361,-12.25485134124756,3.992263793945313,-6.2247843742370605,-7.0401506423950195,-2.979544162750244,-4.08818244934082,True,0.0319890122641498,7.293697720601438,1.217618240500526,1.1691122998504624,1.0
漫游会议室 - 菩萨鱼,6086,-98.68479919433594,50.5555419921875,2.944002389907837,21.991931915283203,2.9940409660339355,2.454491138458252,2.193392753601074,-3.673444986343384,-2.1570212841033936,3.3021538257598877,-4.6423163414001465,-4.233604431152344,-4.0921125411987305,True,0.0175698457950312,8.713910628493924,1.8864564900229537,-0.4538085946915919,1.0
郑昊祐 - 烟花易冷R&B,942,-191.56385803222656,77.48615264892578,27.71768569946289,22.55802345275879,19.59988021850586,5.157464504241943,2.0810651779174805,-1.7709951400756836,-5.267003536224365,4.334608554840088,-3.01430606842041,-1.9619373083114624,-4.646728515625,True,0.01872448986337,6.849066282633458,1.0082225146903387,-0.3238499047576536,1.0
陈文杰的音悦 - 爱要坦荡荡,238,-133.58444213867188,66.84759521484375,19.548521041870117,21.401819229125977,18.65253639221191,-2.285369396209717,-2.8543052673339844,-8.391562461853027,5.572911262512207,2.251408576965332,-4.421966075897217,-2.5105221271514893,-10.983296394348145,True,0.0165691877072262,5.476463551931511,0.3618059087078414,-0.5664356957427773,1.0
鱼忆 - 有多少爱可以重来,4,-136.23870849609375,53.74114227294922,32.133506774902344,26.88351249694824,12.542916297912598,4.0041913986206055,-5.690840244293213,-5.669665336608887,-2.326279878616333,-0.2166279852390289,-2.125828504562378,-2.917332172393799,-12.42476749420166,True,0.024877402752702,1.6094379124341005,-1.4593398119136425,0.3686790921008153,1.0
鱼忆 - 至少还有你,29,-176.55453491210938,69.78831481933594,31.67955207824707,40.29450607299805,17.02159881591797,-4.165223121643066,2.2368314266204834,7.808479309082031,-2.980549573898315,4.366037845611572,-4.219282627105713,0.799490213394165,-9.384757041931152,True,0.0219734518724626,3.4011973816621555,-0.6155245921645986,0.041830617859414,1.0
