music_genre_x,artist_name,song_name,Audio_AIGC_Rate,Lyrics_AIGC_Rate,Total_AI_Permeability,music_genre_y,album_name,release_date,comment_count,song_id,MFCC1_Spectral_Energy_Balance,MFCC2_Timbre_Brightness,MFCC3_Spectral_Slope_Characteristic,MFCC4_Harmonic_Structure_1,MFCC5_Harmonic_Structure_2,MFCC6_Vocal_Resonance_1,MFCC7_Vocal_Resonance_2,MFCC8_Tone_Color_Detail_1,MFCC9_Tone_Color_Detail_2,MFCC10_Tone_Color_Detail_3,MFCC11_Bass_Feature,MFCC12_Mid_Frequency_Feature,MFCC13_High_Frequency_Feature,Novelty,log_comment_count,Usefulness
POP流行,郑润泽,任性,0.232,0.008,0.12,POP流行,电视剧《难哄》影视原声带·只喜欢你Love Moments,2025-02-18,24638.0,1352916750,-321.3824157714844,125.40741729736328,31.597686767578125,6.5006585121154785,7.371224403381348,0.8552052974700928,-9.146279335021973,-2.722012758255005,-6.308292388916016,-0.1442393809556961,-9.750843048095703,-10.262794494628906,-6.877201557159424,0.4668518182625601,10.112085832408304,0.7837711448744277
POP流行,郑润泽,是你,0.232,0.087,0.16,POP流行,电视剧《难哄》影视原声带·只喜欢你Love Moments,2025-02-18,3656.0,2031660746,-321.3824157714844,125.40741729736328,31.597686767578125,6.5006585121154785,7.371224403381348,0.8552052974700928,-9.146279335021973,-2.722012758255005,-6.308292388916016,-0.1442393809556961,-9.750843048095703,-10.262794494628906,-6.877201557159424,0.4668518182625601,8.204398418149381,0.6250281692587156
POP流行,郑润泽,只在今夜,0.232,0.009,0.121,POP流行,电视剧《难哄》影视原声带·只喜欢你Love Moments,2025-02-18,1644.0,1352916750,-321.3824157714844,125.40741729736328,31.597686767578125,6.5006585121154785,7.371224403381348,0.8552052974700928,-9.146279335021973,-2.722012758255005,-6.308292388916016,-0.1442393809556961,-9.750843048095703,-10.262794494628906,-6.877201557159424,0.4668518182625601,7.405495663199472,0.5585496678017019
POP流行,郑润泽,像晴天像雨天,0.232,0.014,0.123,POP流行,电视剧《难哄》影视原声带·只喜欢你Love Moments,2025-02-18,38554.0,1352916750,-321.3824157714844,125.40741729736328,31.597686767578125,6.5006585121154785,7.371224403381348,0.8552052974700928,-9.146279335021973,-2.722012758255005,-6.308292388916016,-0.1442393809556961,-9.750843048095703,-10.262794494628906,-6.877201557159424,0.4668518182625601,10.55984107226706,0.8210298690193987
POP流行,郑润泽,晚点,0.232,0.008,0.12,POP流行,电视剧《难哄》影视原声带·只喜欢你Love Moments,2025-02-18,1964.0,1352916750,-321.3824157714844,125.40741729736328,31.597686767578125,6.5006585121154785,7.371224403381348,0.8552052974700928,-9.146279335021973,-2.722012758255005,-6.308292388916016,-0.1442393809556961,-9.750843048095703,-10.262794494628906,-6.877201557159424,0.4668518182625601,7.583247524303362,0.5733408013710469
POP流行,郑润泽,倔强,0.232,0.008,0.12,POP流行,电视剧《难哄》影视原声带·只喜欢你Love Moments,2025-02-18,362.0,1352916750,-321.3824157714844,125.40741729736328,31.597686767578125,6.5006585121154785,7.371224403381348,0.8552052974700928,-9.146279335021973,-2.722012758255005,-6.308292388916016,-0.1442393809556961,-9.750843048095703,-10.262794494628906,-6.877201557159424,0.4668518182625601,5.8944028342648505,0.4328082227915243
POP流行,郑润泽,隐形人,0.232,0.009,0.121,POP流行,电视剧《难哄》影视原声带·只喜欢你Love Moments,2025-02-18,6004.0,1352916750,-321.3824157714844,125.40741729736328,31.597686767578125,6.5006585121154785,7.371224403381348,0.8552052974700928,-9.146279335021973,-2.722012758255005,-6.308292388916016,-0.1442393809556961,-9.750843048095703,-10.262794494628906,-6.877201557159424,0.4668518182625601,8.700347734514084,0.6662972312894544
POP流行,郑润泽,一切的一切,0.232,0.013,0.123,POP流行,电视剧《难哄》影视原声带·只喜欢你Love Moments,2025-02-18,1110.0,1352916750,-321.3824157714844,125.40741729736328,31.597686767578125,6.5006585121154785,7.371224403381348,0.8552052974700928,-9.146279335021973,-2.722012758255005,-6.308292388916016,-0.1442393809556961,-9.750843048095703,-10.262794494628906,-6.877201557159424,0.4668518182625601,7.01301578963963,0.5258905316494771
POP流行,郑润泽,看着我,0.232,0.009,0.121,POP流行,电视剧《难哄》影视原声带·只喜欢你Love Moments,2025-02-18,1257.0,1352916750,-321.3824157714844,125.40741729736328,31.597686767578125,6.5006585121154785,7.371224403381348,0.8552052974700928,-9.146279335021973,-2.722012758255005,-6.308292388916016,-0.1442393809556961,-9.750843048095703,-10.262794494628906,-6.877201557159424,0.4668518182625601,7.1372784372603855,0.5362307070334345
POP流行,郑润泽,Crush,0.232,0.013,0.123,POP流行,电视剧《难哄》影视原声带·只喜欢你Love Moments,2025-02-18,203.0,1352916750,-321.3824157714844,125.40741729736328,31.597686767578125,6.5006585121154785,7.371224403381348,0.8552052974700928,-9.146279335021973,-2.722012758255005,-6.308292388916016,-0.1442393809556961,-9.750843048095703,-10.262794494628906,-6.877201557159424,0.4668518182625601,5.318119993844216,0.384854426901864
POP流行,郑润泽,My Dear,0.232,0.018,0.125,POP流行,电视剧《难哄》影视原声带·只喜欢你Love Moments,2025-02-18,7742.0,1352916750,-321.3824157714844,125.40741729736328,31.597686767578125,6.5006585121154785,7.371224403381348,0.8552052974700928,-9.146279335021973,-2.722012758255005,-6.308292388916016,-0.1442393809556961,-9.750843048095703,-10.262794494628906,-6.877201557159424,0.4668518182625601,8.954544488386723,0.6874495169312156
POP流行,郑润泽,想悄悄住进你的灵魂,0.179,0.228,0.204,POP流行,电视剧《难哄》影视原声带·只喜欢你Love Moments,2025-02-18,750.0,2675204921,-214.3150329589844,121.8348159790039,21.137168884277344,2.0262861251831055,8.213067054748535,-4.4393768310546875,-13.220224380493164,-4.4814019203186035,-10.59233283996582,-7.199378490447998,-14.201641082763672,-11.04478359222412,-11.178594589233398,0.4452427651266841,6.621405651764134,0.4933037681666427
POP流行,郑润泽,雨滴中有你,0.232,0.013,0.123,POP流行,电视剧《难哄》影视原声带·只喜欢你Love Moments,2025-02-18,1024.0,1352916750,-321.3824157714844,125.40741729736328,31.597686767578125,6.5006585121154785,7.371224403381348,0.8552052974700928,-9.146279335021973,-2.722012758255005,-6.308292388916016,-0.1442393809556961,-9.750843048095703,-10.262794494628906,-6.877201557159424,0.4668518182625601,6.932447891572509,0.5191862950000747
POP流行,郑润泽,追光自会成为光,0.232,0.02,0.126,POP流行,追光者,2024-07-31,684.0,1352916750,-321.3824157714844,125.40741729736328,31.597686767578125,6.5006585121154785,7.371224403381348,0.8552052974700928,-9.146279335021973,-2.722012758255005,-6.308292388916016,-0.1442393809556961,-9.750843048095703,-10.262794494628906,-6.877201557159424,0.4668518182625601,6.529418838262226,0.4856493377900743
POP流行,郑润泽,纯白 (INTRO),0.154,0.0,0.077,POP流行,追光者,2024-07-31,18.0,2025185306,-231.05323791503903,127.0476531982422,19.999561309814453,28.64275550842285,4.387373924255371,1.7804020643234253,-5.326745510101318,-0.043707937002182,-11.158295631408691,3.6967947483062744,-5.12546443939209,1.0468262434005735,0.9296439290046692,0.4405748610278639,2.9444389791664403,0.187335071992847
